objectid,parentid,filename,title,format,date,location,latitude,longitude,artist_stage_name,creator,description,type,rights,rights_statement,genre,publisher,rpm,note,owner_of_object,call_number
vr047,,,"Hotter than Hell",multiple,1974-10-22,"Los Angeles, Califonia, United States",34.052235,-118.243683,Kiss,"Stanley, Paul; Simmons, Gene; Criss, Peter; Frehley, Ace.",Hotter than Hell is Kiss's second studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Hard Rock,Casablanca Records,33 1/3,This album features Japanese katakana and all four members had their names mistranslated in katakana.,3rd Gen.,NBLP 7006
vr048,vr047,kiss_hotter_than_hell.jpg,"Hotter than Hell front cover",image/jpg,,,,,,,,,,,,,,,,
vr049,vr047,kiss_hotter_than_hell_back.jpg,"Hotter than Hell back cover",image/jpg,,,,,,,,,,,,,,,,
vr050,,,"Dressed to Kill",multiple,1975-03-19,"Los Angeles, Califonia, United States",34.052235,-118.243683,Kiss,"Stanley, Paul; Simmons, Gene; Criss, Peter; Frehley, Ace.",Dressed to Kill is Kiss's third studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Hard Rock,Casablanca Records,33 1/3,"The album cover depicts the four members in suits, but only Peter Criss actually owned a suit. The rest borrowed them from their manager.",3rd Gen.,NBLP 7016
vr051,vr050,kiss_dressed_to_kill.jpg,"Dressed to Kill front cover",image/jpg,,,,,,,,,,,,,,,,
vr052,vr050,kiss_dressed_to_kill_back.jpg,"Dressed to Kill back cover",image/jpg,,,,,,,,,,,,,,,,
vr053,,,"Paul Stanley",multiple,1978-09-18,"Los Angeles, Califonia, United States",34.052235,-118.243683,Paul Stanley,"Stanley, Paul.",Paul Stanley is Paul Stanley's first solo album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Rock,Casablanca Records,33 1/3,This is a part of a set where each Kiss member wrote their own solo album.,3rd Gen.,NBLP 7123
vr054,vr053,paul_stanley_paul_stanley.jpg,"Paul Stanley front cover",image/jpg,,,,,,,,,,,,,,,,
vr055,vr053,paul_stanley_paul_stanley_back.jpg,"Paul Stanley back cover",image/jpg,,,,,,,,,,,,,,,,
vr056,,,"Ace Frehley",multiple,1978-09-18,"Los Angeles, Califonia, United States",34.052235,-118.243683,Ace Frehley,"Frehley, Ace.",Ace Frehley is Ace Frehley's first solo album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Rock,Casablanca Records,33 1/3,This is a part of a set where each Kiss member wrote their own solo album.,3rd Gen.,NBLP 7121
vr057,vr056,ace_frehley_ace_frehley.jpg,"Ace Frehley front cover",image/jpg,,,,,,,,,,,,,,,,
vr058,vr056,ace_frehley_ace_frehley_back.jpg,"Ace Frehley back cover",image/jpg,,,,,,,,,,,,,,,,
vr059,,,"Love Gun",multiple,1977-06-30,"Los Angeles, Califonia, United States",34.052235,-118.243683,Kiss,"Stanley, Paul; Simmons, Gene; Criss, Peter; Frehley, Ace.",Love Gun is Kiss's sixth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Hard Rock,Casablanca Records,33 1/3,Love Gun was the first Kiss album to feature all four members as main vocalists.,3rd Gen.,NBLP 7057
vr060,vr059,kiss_love_gun.jpg,"Love Gun front cover",image/jpg,,,,,,,,,,,,,,,,
vr061,vr059,kiss_love_gun_back.jpg,"Love Gun back cover",image/jpg,,,,,,,,,,,,,,,,
vr062,,,"Unmasked",multiple,1980-05-20,"Los Angeles, Califonia, United States",34.052235,-118.243683,Kiss,"Stanley, Paul; Simmons, Gene; Criss, Peter; Frehley, Ace.",Unmasked is Kiss's eighth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Hard Rock,Casablanca Records,33 1/3,"Unmasked was the first Kiss album to not feature all four members, Peter Criss doesn't play on this album at all.",3rd Gen.,NBLP 7225
vr063,vr062,kiss_unmasked.jpg,"Unmasked front cover",image/jpg,,,,,,,,,,,,,,,,
vr064,vr062,kiss_unmasked_back.jpg,"Unmasked back cover",image/jpg,,,,,,,,,,,,,,,,
vr065,,,"10,000 Volts",multiple,2024-02-23,"New York City, New York, United States",40.71427,-74.00597,Ace Frehley,"Frehley, Ace.","10,000 Volts is Ace Frehley's eighth solo album.",Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Hard Rock,MNRK HEAVY,33 1/3,,3rd Gen.,401979
vr066,vr065,"ace_frehley_10,000_volts.jpg","10,000 Volts front cover",image/jpg,,,,,,,,,,,,,,,,
vr067,vr065,"ace_frehley_10,000_volts_back.jpg","10,000 Volts back cover",image/jpg,,,,,,,,,,,,,,,,
vr068,,,"Condition Critical",multiple,1984-07-27,"Hollywood, Calfornia, United States",34.092808,-118.328659,Quiet Riot,"DuBrow, Kevin; Cavazo, Carlos; Sarzo, Rudy; Banali, Frankie.",Conditional Critical is Quiet Riot's fourth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Hard Rock,Pasha,33 1/3,L,3rd Gen.,39516
vr069,vr068,quiet_riot_condition_critical.jpg,"Condition Critical front cover",image/jpg,,,,,,,,,,,,,,,,
vr070,vr068,quiet_riot_condition_critical_back.jpg,"Condition Critical back cover",image/jpg,,,,,,,,,,,,,,,,
vr071,,,"Get Lucky",multiple,1981-10-07,"New York City, New York, United States",40.71427,-74.00597,Loverboy,"Smith, Scott; Dean, Paul; Frenette, Matthew; Johnson, Doug; Reno, Mike.",Get Lucky is Loverboy's second studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Pop,Columbia Records,33 1/3,,3rd Gen.,FC 37638
vr072,vr071,loverboy_get_lucky.jpg,"Get Lucky front cover",image/jpg,,,,,,,,,,,,,,,,
vr073,vr071,loverboy_get_lucky_back.jpg,"Get Lucky back cover",image/jpg,,,,,,,,,,,,,,,,
vr074,,,"Fair Warning",multiple,1981-04-29,"Burbank, California, United States",34.180840, -118.308968,Van Halen,"Roth, Lee David; Van Halen, Eddie; Van Halen, Alex; Anthony, Michael.",Fair Warning is Van Halen's fourth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Hard Rock,Warner Bros.,33 1/3,l,3rd Gen.,HS 3540
vr075,vr074,van_halen_fair_warning.jpg,"Fair Warning front cover",image/jpg,,,,,,,,,,,,,,,,
vr076,vr074,van_halen_fair_warning_back.jpg,"Fair Warning back cover",image/jpg,,,,,,,,,,,,,,,,
vr077,,,"The Game",multiple,1980-06-30,"London, Greater London, England",51.509865,-0.118092,Queen,"Mercury, Freddie; May, Brian; Deacon, John; Taylor, Roger.",The Game is Queen's eighth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Rock,EMI,33 1/3,Queen's first album to use a synthesizer.,2nd Gen.,5E - 513
vr078,vr077,queen_the_game.jpg,"The Game front cover",image/jpg,,,,,,,,,,,,,,,,
vr079,vr077,queen_the_game_back.jpg,"The Game back cover",image/jpg,,,,,,,,,,,,,,,,
vr080,,,"Greatest Hits",multiple,1975-11-17,"New York City, New York, United States",40.71427,-74.00597,Abba,"Fältskog, Agnetha; Lyngstad, Anni-Frid; Ulvaeus, Björn; Andersson, Benny.",Greatest Hits is a compilation album that was originally released in Scandinavi.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Pop,Alantic Records,33 1/3,"Greatest Hits was the best-selling album of 1976 in the UK.",2nd Gen.,19114
vr081,vr080,abba_greatest_hits.jpg,"Greatest Hits front cover",image/jpg,,,,,,,,,,,,,,,,
vr082,vr080,abba_greatest_hits_back.jpg,"Greatest Hits back cover",image/jpg,,,,,,,,,,,,,,,,
vr083,,,"1999",multiple,1982-10-27,"Los Angeles, California, United States",34.052235,-118.243683,Prince,"Nelson, Prince Rogers",1999 is Prince's fifth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,R&B/Soul,Warner Bros.,33 1/3,,2nd Gen.,1-23720
vr084,vr083,prince_1999.jpg,"1999 front cover",image/jpg,,,,,,,,,,,,,,,,
vr085,vr083,prince_1999_back.jpg,"1999 back cover",image/jpg,,,,,,,,,,,,,,,,
vr086,,,"Best of the Beach Boys Vol. 2",multiple,1967-07-24,"Hollywood, California, United States",34.092808,-118.328659,Beach Boys,"Wilson, Brian; Wilson, Carl; Wilson, Dennis; Love, Mike; Jardine, Al.",Best of the Beach Boys Vol. 2 is the Beach Boy's second compilation album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Rock,Capitol Records,33 1/3,,2nd Gen.,DT -2706
vr087,vr086,beach_boys_best_of_vol._2.jpg,"Best of the Beach Boys Vol. 2 front cover",image/jpg,,,,,,,,,,,,,,,,
vr088,vr086,beach_boys_best_of_vol._2_back.jpg,"Best of the Beach Boys Vol. 2 back cover",image/jpg,,,,,,,,,,,,,,,,
